"SITE_ID","IGBP","LOCATION_LAT","LOCATION_LONG","LOCATION_ELEV","MAT","MAP","CLIMATE_KOEPPEN","UTC_OFFSET","data_year_length","SC_source","NEE_source","NEE_availability","NEE_availability_after_filling","LE_availability","LE_availability_after_filling","H_availability","H_availability_after_filling","USTAR_availability","USTAR_availability_after_filling","NETRAD_availability","NETRAD_availability_after_filling","TA_availability","TA_availability_after_filling","VPD_availability","VPD_availability_after_filling","SWC_availability","SWC_availability_after_filling","SW_IN_availability","SW_IN_availability_after_filling","ECO_NAME","REALM","BIOME","ECO_NUM","NA_L3CODE","NA_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","NEE_clust_group","LE_clust_group","H_clust_group","USTAR_clust_group","NETRAD_clust_group","TA_clust_group","VPD_clust_group","SWC_clust_group"
"CA-LP1","ENF",55.1119,-122.8414,751,2,570,"Csa",-8,14,NA,"NEE",0.856480576196063,1,0.363772650241168,1,0.744150045626385,1,0.952357091643854,1,0.958280374136358,1,0.96989473341155,1,0.958211119801851,1,0.999739277799505,1,0.852019782296963,1,"Fraser Plateau and Basin complex","NA",5,14,"6.2.1","Skeena-Omineca-Central Canadian Rocky Mountains","6.2","WESTERN CORDILLERA","6","NORTHWESTERN FORESTED MOUNTAINS",3,2,2,2,2,6,1,4
"CA-MA1","CRO",50.1645,-97.8762,261,2.6,514,"Dfb",-6,3,"negligible","FC+SC",0.28820395738204,0.809027777777778,0.401179604261796,1,0.408694824961948,1,0.451940639269406,1,0,0,0.858428462709285,1,0.858371385083714,1,0.839307458143075,1,0.75144596651446,1,"Northern tall grasslands","NA",8,12,"9.2.2","Lake Manitoba and Lake Agassiz Plain","9.2","TEMPERATE PRAIRIES","9","GREAT PLAINS",NA,2,1,1,NA,5,1,1
"CA-MA2","CRO",50.171,-97.8762,261,2.6,514,"Dfb",-6,3,"negligible","FC+SC",0.255079908675799,0.753472222222222,0.341818873668189,0.753472222222222,0.351655251141552,0.753472222222222,0.439345509893455,0.753472222222222,0.772222222222222,1,0.77574200913242,1,0.772260273972603,1,0.737557077625571,1,0.772241248097412,1,"Northern tall grasslands","NA",8,12,"9.2.2","Lake Manitoba and Lake Agassiz Plain","9.2","TEMPERATE PRAIRIES","9","GREAT PLAINS",NA,NA,NA,NA,2,5,1,1
"CA-MA3","GRA",50.1774,-97.8686,261,2.6,514,"Dfb",-6,3,"negligible","FC+SC",0.277416286149163,0.75,0.373211567732116,0.75,0.386967275494673,0.75,0.474562404870624,1,0.624372146118721,1,0.845015220700152,1,0,0,0.803805175038052,1,0.80439497716895,1,"Northern tall grasslands","NA",8,12,"9.2.2","Lake Manitoba and Lake Agassiz Plain","9.2","TEMPERATE PRAIRIES","9","GREAT PLAINS",NA,NA,NA,1,2,5,NA,1
"CA-Man","ENF",55.8796,-98.4808,259,-3.2,520,"Dfc",-6,15,NA,"NEE",0.397871418141997,1,0.656282320374764,1,0.721071363387479,1,0.715725193161769,1,0.832664111455862,1,0.844786153190972,1,0,0,0,0,0.858604064001947,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",3,2,2,2,2,5,NA,NA
"CA-MR3","GRA",50.8671,-111.9045,712,NA,325,"Dwd",-7,4,"SC","FC+SC",0.258749055411717,0.557291666666667,0.29562825960383,0.583333333333333,0.264608599779493,0.583333333333333,0.389764998823136,0.583333333333333,0,0,0.389764998823136,0.583333333333333,0.372880096131214,0.583333333333333,0,0,0.412732430657929,0.541666666666667,"Northern short grasslands","NA",8,11,"9.3.1","Northwestern Glaciated Plains","9.3","WEST-CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS",NA,NA,NA,NA,NA,NA,NA,NA
"CA-MR5","GRA",50.9056,-111.8823,700,NA,325,"Dwd",-7,4,"SC","FC+SC",0.262212014301613,0.583333333333333,0.328866052612886,0.583333333333333,0.310681220846258,0.583333333333333,0.438057916794923,0.625,0,0,0.438057916794923,0.625,0.40966779532593,0.592013888888889,0,0,0.505552530012076,0.625,"Northern short grasslands","NA",8,11,"9.3.1","Northwestern Glaciated Plains","9.3","WEST-CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS",NA,NA,NA,NA,NA,NA,NA,NA
"CA-Na1","ENF",46.4722,-67.1,341,7.09,1102.7,"Dfb",-4,3,"CO2","FC+SC",0.253065181439732,1,0.612580074894976,1,0.635542798486893,1,0.666755374760013,1,0.667059516794343,1,0.803866405611421,1,0.803828387857129,1,0.77791928830764,1,0.667078525671489,1,"New England-Acadian forests","NA",4,10,"8.1.8","Acadian Plains and Hills","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",8,5,2,3,2,6,1,4
"CA-NS1","ENF",55.8792,-98.4839,260,-2.89,500.29,"Dfc",-6,5,"CO2","FC+SC",0.404880887185104,1,0.621691310697335,1,0.683906078860898,1,0.714597024461482,1,0.625479189485214,1,0.703803851770719,1,0.695121394669587,1,0.147795728368018,1,0.715076213946696,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",3,2,2,2,2,5,1,1
"CA-NS2","ENF",55.9058,-98.5247,260,-2.88,499.82,"Dfc",-6,5,"CO2","FC+SC",0.362050474625776,1,0.53647544724352,1,0.570623402701716,1,0.681202081051479,1,0.734175337714494,1,0.70618838992333,1,0.705789065352318,1,0.110396129974443,1,0.636454910551296,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",3,2,2,2,2,5,1,4
"CA-NS3","ENF",55.9117,-98.3822,260,-2.87,502.22,"Dfc",-6,5,"CO2","FC+SC",0.458515881708653,1,0.701978368017525,1,0.704111902154071,1,0.800212212486309,1,0.766406535231836,1,0.536772088353414,1,0.535745253742242,1,0.146586345381526,1,0.775180266520628,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",3,2,2,2,2,5,1,4
"CA-NS4","ENF",55.9144,-98.3806,260,-2.87,502.22,"Dfc",-6,5,"CO2","FC+SC",0.274335980284775,0.791666666666667,0.372695326761592,1,0.401378240233662,1,0.498813435560424,1,0.58357292807594,1,0.529253377144943,1,0.501871120847024,1,0.13351131799927,1,0.403329225994889,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",NA,2,2,1,2,5,1,1
"CA-NS5","ENF",55.8631,-98.485,260,-2.86,500.34,"Dfc",-6,5,"CO2","FC+SC",0.358753194596568,1,0.600047918948521,1,0.757301935012778,1,0.754837531945966,1,0.796960569550931,1,0.770205823293173,1,0.750912741876597,1,0.0335546732384082,0.666666666666667,0.796743793355239,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",3,2,2,2,2,5,1,NA
"CA-NS6","OSH",55.9167,-98.9644,244,-3.08,495.37,"Dfc",-6,5,"negligible","FC+SC",0.321410642570281,1,0.66467004381161,1,0.660962029937934,1,0.767034045271997,1,0.794941128148959,1,0.794941128148959,1,0.781044633077766,1,0.148411829134721,1,0.766805859802848,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",3,2,2,2,2,5,1,3
"CA-NS7","OSH",56.6358,-99.9483,297,-3.52,483.27,"Dfc",-6,5,"negligible","FC+SC",0.214973530485579,1,0.440660368747718,1,0.441356334428624,1,0.604714311792625,1,0.640528021175612,1,0.626277838627236,1,0.583550109529025,1,0.11891885724717,1,0.479303577948156,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",3,2,2,1,2,5,1,4
"CA-NS8","ENF",55.8981,-98.2161,274,-2.71,506.69,"Dfc",-6,5,"CO2","FC+SC",0.149062157721796,0.586805555555556,0.181384629426798,0.59375,0.182879244249726,0.59375,0.20087166849215,0.59375,0.236069277108434,0.638888888888889,0.235076670317634,0.638888888888889,0.202092460752099,0.59375,0,0,0,0,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",NA,NA,NA,NA,NA,NA,NA,NA
"CA-Oas","DBF",53.6289,-106.1978,530,0.34,428.53,"Dfc",-6,15,NA,"NEE",0.697907160674089,1,0.856767506235931,1,0.876661647502586,1,0.880848086633814,1,0.926727809210927,1,0.950622072154286,1,0.94759536411754,1,0.121205207762974,0.25,0.937336496927663,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",8,2,2,2,2,5,1,NA
"CA-Obs","ENF",53.9872,-105.1178,628.94,0.79,405.6,"Dfc",-6,14,NA,"NEE",0.517642936306148,1,0.727398298454919,1,0.737360649325249,1,0.742123834669796,1,0.925728535106591,1,0.972468055283917,1,0.936379490188409,1,0.0809537779516266,0.25,0.938115261751092,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",3,2,2,2,2,5,1,NA
"CA-Ojp","ENF",53.9163,-104.692,579,0.12,430.5,"Dfc",-6,15,NA,"NEE",0.457614680294458,1,0.667506996410537,1,0.689024761209466,1,0.703127851797773,1,0.867520685039849,1,0.872167214211839,1,0.872159609417777,1,0.108687716736631,0.25,0.869722272920849,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",3,2,2,2,2,5,1,NA
"CA-Qc2","MF",49.7598,-74.5711,NA,NA,NA,NA,-5,4,NA,"NEE",0.659702216264012,1,0.677144242562537,1,0.79056732935908,1,0.793747682478108,1,0.809406999629196,1,0.734305028665963,1,0.731481217376423,1,0,0,0.861676031832055,1,"Central Canadian Shield forests","NA",6,2,"5.1.6","Abitibi Plains and Riviere Rupert Plateau","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",3,5,2,2,2,5,1,NA
"CA-Qcu","ENF",49.2671,-74.0365,392.3,0.13,949.78,"Dfc",-5,10,NA,"NEE",0.670557228915663,1,0.670505887185104,1,0.61135450894487,1,0.856876369112815,1,0.588906763417306,1,0.903717141292443,1,0.83226656626506,1,0.587588992332968,1,0.577081051478642,1,"Eastern forest-boreal transition","NA",4,6,"5.2.3","Algonquin/Southern Laurentians","5.2","MIXED WOOD SHIELD","5","NORTHERN FORESTS",3,5,1,1,3,5,1,5
"CA-Qfo","ENF",49.6925,-74.3421,382,-0.36,962.32,"Dfc",-5,8,NA,"NEE",0.840990759753593,1,0.7970282911248,1,0.771332420716404,1,0.870237280401551,1,0.92709759297285,1,0.904061145334246,1,0.904011236595939,1,0.906784736481862,1,0.865567248459959,1,"Central Canadian Shield forests","NA",6,2,"5.1.6","Abitibi Plains and Riviere Rupert Plateau","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",3,2,2,2,2,5,1,4
"CA-SCB","WET",61.3089,-121.2984,280,-2.8,388,"Dfc",-7,5,NA,"NEE",0.324592975144814,1,0.433844129171195,1,0.43937747380385,1,0.462288511580144,1,0,0,0.778317265032253,1,0.462258601609156,1,0,0,0.69607481480743,1,"Muskwa-Slave Lake forests","NA",6,10,"3.3.2","Hay and Slave River Lowlands","3.3","TAIGA PLAIN","3","TAIGA",3,2,1,1,NA,5,1,NA
"CA-SCC","ENF",61.3079,-121.2992,285,-2.8,387.6,"Dfc",-7,3,NA,"NEE",0.370661723471867,1,0.629494049473487,1,0.655757368060315,1,0.655772945354851,1,0,0,0.883263754751075,1,0.655772945354851,1,0.865910648638545,1,0.867483955386628,1,"Muskwa-Slave Lake forests","NA",6,10,"3.3.2","Hay and Slave River Lowlands","3.3","TAIGA PLAIN","3","TAIGA",3,2,1,1,NA,5,1,1
"CA-SF1","ENF",54.485,-105.8176,536,0.4,470,"Dfc",-6,4,NA,"NEE",0.289605796109305,0.458333333333333,0.650279536767642,1,0.711720577328998,1,0.708326202293342,1,0.835387072850705,1,0.819584688230932,1,0.819584688230932,1,0.835330024530778,1,0.835201665810942,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",NA,5,2,2,2,5,1,1
"CA-SF2","ENF",54.2539,-105.8775,520,0.4,470,"Dfc",-6,6,NA,"NEE",0.253090646277911,0.458333333333333,0.557809349918217,1,0.591036174825973,1,0.607744684088402,1,0.657489824641485,1,0.69015557837879,1,0.622370573243562,1,0.802379322149949,1,0.519913271710601,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",NA,5,2,2,2,5,1,4
"CA-SF3","OSH",54.0916,-106.0053,540,0.4,470,"Dfc",-6,6,NA,"NEE",0.350450758872532,0.666666666666667,0.662587013579824,1,0.717039446156187,1,0.748811289893111,1,0.756827950853969,1,0.757255886492449,1,0.755686789151356,1,0.792327589486097,1,0.682576362737267,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",NA,2,2,2,2,5,1,4
"CA-SJ1","ENF",53.908,-104.656,580,0.13,430.23,"Dfc",-6,11,NA,"FC+SC",0,0,0.11131852404953,1,0.119158733121772,1,0.0620683218219153,1,0.842817289942547,1,0.221942214755356,1,0.221677763258872,1,0.0957677389915583,0.25,0.851093066185469,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",NA,2,2,1,2,5,1,NA
"CA-SJ2","ENF",53.945,-104.649,580,0.11,430.03,"Dfc",-6,9,"negligible","FC+SC",0.354371085925813,1,0.496444055678101,1,0.527724956263786,1,0.529715270910981,1,0.645400725133744,1,0.81524935980325,1,0.791150072259831,1,0.100941913237494,0.25,0.842289749245709,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",3,2,1,1,3,5,1,NA
"CA-SJ3","ENF",53.8758,-104.6453,NA,0.13,433.33,"Dfc",-6,9,NA,"NEE",0.268495981339216,1,0.274130980451814,1,0.275031059050227,1,0.276013539210466,1,0.658984305671763,1,0.713362997895591,1,0.67098957937172,1,0.0970753784133262,0.25,0.68566339595852,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",3,2,2,2,2,5,1,NA
"CA-TP1","ENF",42.6609,-80.5595,265,8,1036,"Dfb",-5,16,NA,"NEE",0.599172227926078,1,0.626137206251426,1,0.643337896417979,1,0.660777435546429,1,0.94302917522245,1,0.951773899155829,1,0.950911190965092,1,0.952019877937486,1,0.920851870864705,1,"Southern Great Lakes forests","NA",4,14,"8.1.2","Lake Erie Lowland","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",2,2,2,1,2,6,1,4
"CA-TP2","ENF",42.7744,-80.4588,212,8,1036,"Dfb",-5,7,NA,"NEE",0.230396949550254,1,0.252460565767175,1,0.253413831312736,1,0.262465780211185,1,0.896085907965063,1,0.895808890627037,1,0.895743710076913,1,0.895645939251727,1,0.896069612827532,1,"Southern Great Lakes forests","NA",4,14,"8.1.2","Lake Erie Lowland","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",10,6,2,2,2,6,1,4
"CA-TP3","ENF",42.7068,-80.3483,184,8,1036,"Dfb",-5,16,NA,"NEE",0.656406856034679,1,0.673329483230664,1,0.67481605065024,1,0.698868497604381,1,0.969983458818161,1,0.957003621948437,1,0.956971537759525,1,0.97981191535478,1,0.984129021218344,1,"Southern Great Lakes forests","NA",4,14,"8.1.2","Lake Erie Lowland","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",8,5,2,3,2,6,1,4
"CA-TP4","ENF",42.7102,-80.3574,184,8,1036,"Dfb",-5,16,NA,"NEE",0.839293862651152,1,0.859813483915127,1,0.876319016655259,1,0.855079283595711,1,0.997529517453799,1,0.990809662331736,1,0.952212383070956,1,0.994231975815651,1,0.936694330367328,1,"Southern Great Lakes forests","NA",4,14,"8.1.2","Lake Erie Lowland","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",8,5,2,3,2,6,1,4
"CA-TPD","DBF",42.6353,-80.5577,260,8,1036,"Dfb",-5,6,NA,"NEE",0.905214035888078,1,0.931997034671533,1,0.934810295012166,1,0.940161192214112,1,0.982721259124088,1,0.95714530109489,1,0.95714530109489,1,0.982426627128954,1,0.981077022506083,1,"Southern Great Lakes forests","NA",4,14,"8.1.2","Lake Erie Lowland","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",8,5,2,3,2,6,1,4
"CA-WP1","WET",54.9538,-112.467,540,1.1,461.07,"Dfc",-7,7,NA,"NEE",0.802667818321083,1,0.809960724238523,1,0.810392594644807,1,0.810417040139502,1,0.879296295692704,1,0.879222959208618,1,0.879222959208618,1,0.108717263408354,0.625,0.879296295692704,1,"Canadian Aspen forests and parklands","NA",8,2,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",3,2,1,1,2,5,1,NA
"CA-WP2","WET",55.5375,-112.3343,NA,NA,NA,"Dfc",-7,2,NA,"NEE",0.180868199573149,0.541666666666667,0.189687109894093,0.541666666666667,0.189687109894093,0.541666666666667,0.189687109894093,0.541666666666667,0.853259775298997,1,0.853300044295897,1,0.788064269319051,1,0,0,0.817682116538477,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",NA,NA,NA,NA,3,5,1,NA
"CA-WP3","WET",54.47,-113.32,NA,NA,NA,"Dfc",-7,2,NA,"NEE",0.149458381991705,0.5,0.155961824990939,0.5,0.155961824990939,0.5,0.155961824990939,0.5,0.866488140780413,1,0.866468006281964,1,0.866468006281964,1,0,0,0.821668747231507,1,"Canadian Aspen forests and parklands","NA",8,2,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",NA,NA,NA,NA,3,5,1,NA
