"SITE_ID","IGBP","GRP_LOCATION.LOCATION_LAT","GRP_LOCATION.LOCATION_LONG","GRP_LOCATION.LOCATION_ELEV","GRP_CLIM_AVG.MAT","GRP_CLIM_AVG.MAP","GRP_CLIM_AVG.CLIMATE_KOEPPEN","UTC_OFFSET","data_year_length","SC_source","NEE_source","NEE_availability","NEE_availability_after_filling","LE_availability","LE_availability_after_filling","H_availability","H_availability_after_filling","USTAR_availability","USTAR_availability_after_filling","NETRAD_availability","NETRAD_availability_after_filling","TA_availability","TA_availability_after_filling","VPD_availability","VPD_availability_after_filling","SWC_availability","SWC_availability_after_filling","SW_IN_availability","SW_IN_availability_after_filling","ECO_NAME","REALM","BIOME","ECO_NUM","NA_L3CODE","NA_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","NEE_clust_group","LE_clust_group","H_clust_group","USTAR_clust_group","NETRAD_clust_group","TA_clust_group","VPD_clust_group","SWC_clust_group"
"CA-Let","GRA",49.7093,-112.9402,960,5.36,398.4,"Dfb",-7,10,NA,"NEE",0.872109850719685,1,0.872655319433158,1,0.883592523739021,1,0.877570103861696,1,0.930653115294275,1,0.314535071411873,1,0.562756732085806,1,0.602358873885407,1,0.121823201344747,1,"Northern mixed grasslands","NA",8,10,"9.3.1","Northwestern Glaciated Plains","9.3","WEST-CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS",4,3,3,1,3,4,5,6
"CA-LP1","ENF",55.1119,-122.8414,751,2,570,"Csa",-8,10,NA,"NEE",0.998916415731362,1,0.43408956109134,1,0.678734373574231,1,0.952812756638379,1,0.995294963044073,1,0.974501551236427,1,0.963648599324756,1,0.999635003193722,1,0.848263983940141,1,"Fraser Plateau and Basin complex","NA",5,14,"6.2.1","Skeena-Omineca-Central Canadian Rocky Mountains","6.2","WESTERN CORDILLERA","6","NORTHWESTERN FORESTED MOUNTAINS",4,3,3,2,3,5,4,5
"CA-MA1","CRO",50.1645,-97.8762,261,2.6,514,"Dfb",-6,3,"negligible","FC+SC",0.28820395738204,0.809027777777778,0.401179604261796,1,0.408694824961948,1,0.451940639269406,1,0,0,0.858428462709285,1,0.858371385083714,1,0.839307458143075,1,0.75144596651446,1,"Northern tall grasslands","NA",8,12,"9.2.2","Lake Manitoba and Lake Agassiz Plain","9.2","TEMPERATE PRAIRIES","9","GREAT PLAINS",NA,3,2,1,NA,3,4,7
"CA-Na1","ENF",46.4722,-67.1,341,7.09,1102.7,"Dfb",-4,3,"CO2","FC+SC",0.253065181439732,1,0.612580074894976,1,0.635542798486893,1,0.666755374760013,1,0.667059516794343,1,0.803866405611421,1,0.803828387857129,1,0.77791928830764,1,0.667078525671489,1,"New England-Acadian forests","NA",4,10,"8.1.8","Acadian Plains and Hills","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",6,3,3,4,4,3,4,8
"CA-NS1","ENF",55.8792,-98.4839,260,-2.89,500.29,"Dfc",-6,5,"CO2","FC+SC",0.404880887185104,1,0.621691310697335,1,0.683906078860898,1,0.714597024461482,1,0.625479189485214,1,0.703803851770719,1,0.695121394669587,1,0.147795728368018,1,0.715076213946696,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",4,3,3,4,3,3,4,9
"CA-NS2","ENF",55.9058,-98.5247,260,-2.88,499.82,"Dfc",-6,5,"CO2","FC+SC",0.362050474625776,1,0.53647544724352,1,0.570623402701716,1,0.681202081051479,1,0.734175337714494,1,0.70618838992333,1,0.705789065352318,1,0.110396129974443,1,0.636454910551296,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",4,3,3,4,3,3,4,8
"CA-NS3","ENF",55.9117,-98.3822,260,-2.87,502.22,"Dfc",-6,5,"CO2","FC+SC",0.458515881708653,1,0.701978368017525,1,0.704111902154071,1,0.800212212486309,1,0.766406535231836,1,0.536772088353414,1,0.535745253742242,1,0.146586345381526,1,0.775180266520628,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",4,3,3,2,3,3,4,8
"CA-NS4","ENF",55.9144,-98.3806,260,-2.87,502.22,"Dfc",-6,5,"CO2","FC+SC",0.274335980284775,0.791666666666667,0.372695326761592,1,0.401378240233662,1,0.498813435560424,1,0.58357292807594,1,0.529253377144943,1,0.501871120847024,1,0.13351131799927,1,0.403329225994889,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",NA,3,3,1,5,3,4,9
"CA-NS5","ENF",55.8631,-98.485,260,-2.86,500.34,"Dfc",-6,5,"CO2","FC+SC",0.358753194596568,1,0.600047918948521,1,0.757301935012778,1,0.754837531945966,1,0.796960569550931,1,0.770205823293173,1,0.750912741876597,1,0.0335546732384082,0.666666666666667,0.796743793355239,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",4,3,3,2,3,3,4,NA
"CA-NS6","OSH",55.9167,-98.9644,244,-3.08,495.37,"Dfc",-6,5,"negligible","FC+SC",0.321410642570281,1,0.66467004381161,1,0.660962029937934,1,0.767034045271997,1,0.794941128148959,1,0.794941128148959,1,0.781044633077766,1,0.148411829134721,1,0.766805859802848,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",4,3,3,2,5,3,4,3
"CA-NS7","OSH",56.6358,-99.9483,297,-3.52,483.27,"Dfc",-6,5,"negligible","FC+SC",0.214973530485579,1,0.440660368747718,1,0.441356334428624,1,0.604714311792625,1,0.640528021175612,1,0.626277838627236,1,0.583550109529025,1,0.11891885724717,1,0.479303577948156,1,"Midwestern Canadian Shield forests","NA",6,9,"5.1.1","Athabasca Plain and Churchill River Upland","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",4,3,3,1,5,3,4,8
"CA-Oas","DBF",53.6289,-106.1978,530,0.34,428.53,"Dfc",-6,15,NA,"NEE",0.697907160674089,1,0.856767506235931,1,0.876661647502586,1,0.880821469854596,1,0.926727809210927,1,0.950622072154286,1,0.94759536411754,1,0.121205207762974,0.25,0.937336496927663,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",6,3,3,4,3,3,4,NA
"CA-Obs","ENF",53.9872,-105.1178,628.94,0.79,405.6,"Dfc",-6,14,NA,"NEE",0.517642936306148,1,0.727398298454919,1,0.737360649325249,1,0.742123834669796,1,0.925728535106591,1,0.972468055283917,1,0.936379490188409,1,0.0809537779516266,0.25,0.938115261751092,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",4,3,3,2,3,3,4,NA
"CA-Ojp","ENF",53.9163,-104.692,579,0.12,430.5,"Dfc",-6,15,NA,"NEE",0.457614680294458,1,0.667506996410537,1,0.689024761209466,1,0.703127851797773,1,0.867520685039849,1,0.872167214211839,1,0.872159609417777,1,0.108687716736631,0.25,0.869722272920849,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",4,3,3,4,3,3,4,NA
"CA-Qc2","MF",49.7598,-74.5711,NA,NA,NA,NA,-5,4,NA,"NEE",0.659702216264012,1,0.677144242562537,1,0.79056732935908,1,0.793747682478108,1,0.809406999629196,1,0.734305028665963,1,0.731481217376423,1,0,0,0.861676031832055,1,"Central Canadian Shield forests","NA",6,2,"5.1.6","Abitibi Plains and Riviere Rupert Plateau","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",4,3,3,4,3,3,4,NA
"CA-Qcu","ENF",49.2671,-74.0365,392.3,0.13,949.78,"Dfc",-5,10,NA,"NEE",0.670557228915663,1,0.670505887185104,1,0.61135450894487,1,0.856876369112815,1,0.588906763417306,1,0.903717141292443,1,0.83226656626506,1,0.587588992332968,1,0.577081051478642,1,"Eastern forest-boreal transition","NA",4,6,"5.2.3","Algonquin/Southern Laurentians","5.2","MIXED WOOD SHIELD","5","NORTHERN FORESTS",4,3,2,1,5,3,4,10
"CA-Qfo","ENF",49.6925,-74.3421,382,-0.36,962.32,"Dfc",-5,8,NA,"NEE",0.840990759753593,1,0.7970282911248,1,0.771332420716404,1,0.870237280401551,1,0.92709759297285,1,0.904061145334246,1,0.904011236595939,1,0.906784736481862,1,0.865567248459959,1,"Central Canadian Shield forests","NA",6,2,"5.1.6","Abitibi Plains and Riviere Rupert Plateau","5.1","SOFTWOOD SHIELD","5","NORTHERN FORESTS",4,3,3,4,3,3,4,8
"CA-SCC","ENF",61.3079,-121.2992,285,-2.8,387.6,"Dfc",-7,3,NA,"NEE",0.370661723471867,1,0.629494049473487,1,0.655757368060315,1,0.655772945354851,1,0,0,0.883263754751075,1,0.655772945354851,1,0.865910648638545,1,0.867483955386628,1,"Muskwa-Slave Lake forests","NA",6,10,"3.3.2","Hay and Slave River Lowlands","3.3","TAIGA PLAIN","3","TAIGA",4,3,2,1,NA,3,4,6
"CA-SF1","ENF",54.485,-105.8176,536,0.4,470,"Dfc",-6,4,NA,"NEE",0.289605796109305,0.458333333333333,0.650279536767642,1,0.711720577328998,1,0.708326202293342,1,0.835387072850705,1,0.819584688230932,1,0.819584688230932,1,0.835330024530778,1,0.835201665810942,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",NA,3,3,2,3,3,4,9
"CA-SF2","ENF",54.2539,-105.8775,520,0.4,470,"Dfc",-6,6,NA,"NEE",0.253090646277911,0.458333333333333,0.557809349918217,1,0.591036174825973,1,0.607744684088402,1,0.657489824641485,1,0.69015557837879,1,0.622370573243562,1,0.802379322149949,1,0.519913271710601,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",NA,3,3,2,3,3,4,8
"CA-SF3","OSH",54.0916,-106.0053,540,0.4,470,"Dfc",-6,6,NA,"NEE",0.350450758872532,0.666666666666667,0.662587013579824,1,0.717039446156187,1,0.748811289893111,1,0.756827950853969,1,0.757255886492449,1,0.755686789151356,1,0.792327589486097,1,0.682576362737267,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",NA,3,3,4,3,3,4,8
"CA-SJ1","ENF",53.908,-104.656,580,0.13,430.23,"Dfc",-6,11,NA,"FC+SC",0,0,0.11131852404953,1,0.119158733121772,1,0.0619490593823243,1,0.842817289942547,1,0.221942214755356,1,0.221677763258872,1,0.0957677389915583,0.25,0.851093066185469,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",NA,3,3,3,3,3,4,NA
"CA-SJ2","ENF",53.945,-104.649,580,0.11,430.03,"Dfc",-6,9,"negligible","FC+SC",0.354371085925813,1,0.496444055678101,1,0.527724956263786,1,0.529715270910981,1,0.645400725133744,1,0.81524935980325,1,0.791150072259831,1,0.100941913237494,0.25,0.842289749245709,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",4,3,2,1,5,3,4,NA
"CA-SJ3","ENF",53.8758,-104.6453,NA,0.13,433.33,"Dfc",-6,9,NA,"NEE",0.268495981339216,1,0.274130980451814,1,0.275031059050227,1,0.276013539210466,1,0.658984305671763,1,0.713362997895591,1,0.67098957937172,1,0.0970753784133262,0.25,0.68566339595852,1,"Mid-Continental Canadian forests","NA",6,8,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",4,3,3,2,3,3,4,NA
"CA-TP1","ENF",42.6609,-80.5595,265,8,1036,"Dfb",-5,16,NA,"NEE",0.599172227926078,1,0.626137206251426,1,0.643337896417979,1,0.660634839151266,1,0.94302917522245,1,0.951773899155829,1,0.950911190965092,1,0.952019877937486,1,0.920851870864705,1,"Southern Great Lakes forests","NA",4,14,"8.1.2","Lake Erie Lowland","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",4,3,3,1,3,4,4,5
"CA-TP2","ENF",42.7744,-80.4588,212,8,1036,"Dfb",-5,7,NA,"NEE",0.230396949550254,1,0.252460565767175,1,0.253413831312736,1,0.262082844479207,1,0.896085907965063,1,0.895808890627037,1,0.895743710076913,1,0.895645939251727,1,0.896069612827532,1,"Southern Great Lakes forests","NA",4,14,"8.1.2","Lake Erie Lowland","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",7,4,3,2,3,4,4,5
"CA-TP3","ENF",42.7068,-80.3483,184,8,1036,"Dfb",-5,16,NA,"NEE",0.656406856034679,1,0.673329483230664,1,0.67481605065024,1,0.698700946840064,1,0.969983458818161,1,0.957003621948437,1,0.956971537759525,1,0.97981191535478,1,0.984129021218344,1,"Southern Great Lakes forests","NA",4,14,"8.1.2","Lake Erie Lowland","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",6,3,4,4,3,4,4,5
"CA-TP4","ENF",42.7102,-80.3574,184,8,1036,"Dfb",-5,16,NA,"NEE",0.839293862651152,1,0.859813483915127,1,0.876319016655259,1,0.855079283595711,1,0.997529517453799,1,0.990809662331736,1,0.952212383070956,1,0.994231975815651,1,0.936694330367328,1,"Southern Great Lakes forests","NA",4,14,"8.1.2","Lake Erie Lowland","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",6,3,4,4,3,4,4,5
"CA-TPD","DBF",42.6353,-80.5577,260,8,1036,"Dfb",-5,6,NA,"NEE",0.905214035888078,1,0.931997034671533,1,0.934810295012166,1,0.940161192214112,1,0.982721259124088,1,0.95714530109489,1,0.95714530109489,1,0.982426627128954,1,0.981077022506083,1,"Southern Great Lakes forests","NA",4,14,"8.1.2","Lake Erie Lowland","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",6,3,3,4,3,4,4,5
"CA-WP1","WET",54.9538,-112.467,540,1.1,461.07,"Dfc",-7,7,NA,"NEE",0.802667818321083,1,0.809960724238523,1,0.810392594644807,1,0.810400743143039,1,0.879296295692704,1,0.879222959208618,1,0.879222959208618,1,0.108717263408354,0.625,0.879296295692704,1,"Canadian Aspen forests and parklands","NA",8,2,"5.4.1","Mid-Boreal Uplands and Peace-Wabaska Lowlands","5.4","BOREAL PLAIN","5","NORTHERN FORESTS",4,3,2,1,3,3,4,NA
"MX-EMg","CSH",32.0298,-116.6045,409,17,281,"Bsh",-8,3,"negligible","FC+SC",0.608842761557178,1,0.573125760340633,1,0.678394920924574,1,0.677862682481752,1,0.647620133819951,1,0.648342457420925,1,0.663701338199513,1,0.648114355231144,1,0.647867244525547,1,"California coastal sage and chaparral","NA",12,1,"11.1.1","California Coastal Sage, Chaparral, and Oak Woodlands","11.1","MEDITERRANEAN CALIFORNIA","11","MEDITERRANEAN CALIFORNIA",4,3,5,1,6,6,6,5
"MX-Lpa","OSH",24.1292,-110.438,21,23.6,182,"Bwh",-7,5,"negligible","FC+SC",0.591041780696953,1,0.909459952563401,1,0.912310709724503,1,0.916632457580733,1,0.873141306330962,1,0.943908502098157,1,0.943201514322204,1,0.945961047254151,1,0.944740923189199,1,NA,NA,NA,NA,"10.2.3","Baja Californian Desert","10.2","WARM DESERTS","10","NORTH AMERICAN DESERTS",4,3,6,2,2,7,7,11
"US-A32","GRA",36.8193,-97.8198,335,33.9,889,"Cfa",-6,3,NA,"NEE",0.391081204379562,1,0.402372262773723,1,0.413397201946472,1,0.469415298053528,1,0.581603558394161,1,0.581622566909976,1,0.581622566909976,1,0,0,0.309648722627737,1,"Central and Southern mixed grasslands","NA",8,3,"9.4.2","Central Great Plains","9.4","SOUTH CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS",6,4,4,2,4,6,8,NA
"US-A74","CRO",36.8085,-97.5489,337,33.9,889,"Cfa",-6,3,NA,"NEE",0.312328923357664,1,0.320293491484185,1,0.336697840632603,1,0.494810675182482,1,0.413264142335766,1,0.524692062043796,1,0.524692062043796,1,0,0,0.221088047445255,1,"Central and Southern mixed grasslands","NA",8,3,"9.4.2","Central Great Plains","9.4","SOUTH CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS",8,5,7,2,4,6,8,NA
"US-ADR","BSV",36.7653,-116.6933,842,17.5,110,"Bwh",-8,6,"negligible","FC+SC",0.435492218732153,1,0.77627070245574,1,0.777127355796688,1,0.777136279268989,1,0.820040334094803,1,0.777136279268989,1,0.754390348372359,1,0.820040334094803,1,0.820040334094803,1,"Mojave desert","NA",13,8,"10.2.1","Mojave Basin and Range","10.2","WARM DESERTS","10","NORTH AMERICAN DESERTS",4,3,8,1,7,6,9,11
"US-ALQ","WET",46.0308,-89.6067,NA,NA,NA,"Dfb",-6,6,NA,"NEE",0.391052691605839,1,0.377138458029197,1,0.448524939172749,1,0.511965860705596,1,0.306379257907543,1,0.334502357055961,1,0.412750912408759,1,0,0,0.700891499391727,1,"Western Great Lakes forests","NA",4,16,"5.2.1","Northern Lakes and Forests","5.2","MIXED WOOD SHIELD","5","NORTHERN FORESTS",4,3,2,3,3,5,4,NA
"US-AR1","GRA",36.4267,-99.42,611,NA,NA,"Dsa",-6,4,"negligible","FC+SC",0.650539014373717,1,0.812400182523386,1,0.814767282683094,1,0.795744923568332,1,0.884254506046087,1,0.908766826374629,1,0.857303787360256,1,0.908766826374629,1,0.907226785306867,1,"Central and Southern mixed grasslands","NA",8,3,"9.4.2","Central Great Plains","9.4","SOUTH CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS",4,3,4,1,4,6,10,4
"US-AR2","GRA",36.6358,-99.5975,646,NA,NA,"Dsa",-6,4,"negligible","FC+SC",0.557837097878166,1,0.714564795801962,1,0.72605806525211,1,0.708333333333333,1,0.776451631302761,1,0.776579968058407,1,0.77633755418663,1,0.728667579283596,1,0.776366073465663,1,"Central and Southern mixed grasslands","NA",8,3,"9.4.2","Central Great Plains","9.4","SOUTH CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS",4,3,4,1,4,6,10,5
"US-ARM","CRO",36.6058,-97.4888,314,14.76,843,"Cfa",-6,17,"negligible","FC+SC",0.61105946155336,1,0.852243527664794,1,0.927219316934599,1,0.930676609206534,1,0.876780295693718,1,0.930683065401252,1,0.930495835754406,1,0.795002905287624,1,0.86653754277229,1,"Central and Southern mixed grasslands","NA",8,3,"9.4.2","Central Great Plains","9.4","SOUTH CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS",4,4,3,1,4,6,8,6
"US-Atq","WET",70.4696,-157.4089,15,-9.7,93,"ET",-9,8,"SC","FC+SC",0.210871549167237,1,0.347535934291581,1,0.380889231120237,1,0.414492071640429,1,0.756317020305727,1,0.754727070499658,1,0.751989219712526,1,0,0,0.760345368469085,1,"Arctic coastal tundra","NA",11,3,"2.2.1","Arctic Coastal Plain","2.2","ALASKA TUNDRA","2","TUNDRA",4,3,2,1,5,8,11,NA
"US-Aud","GRA",31.5907,-110.5104,1469,14.85,438.35,"Bsk",-7,10,NA,"NEE",0.687283223804308,1,0.722469423147134,1,0.756651606425703,1,0.636882758305951,1,0.912513691128149,1,0.912673420956553,1,0.912667716319825,1,0.589636956918583,1,0.903893985031033,1,"Chihuahuan desert","NA",13,3,"12.1.1","Madrean Archipelago","12.1","WESTERN SIERRA MADRE PIEDMONT","12","SOUTHERN SEMIARID HIGHLANDS",4,3,8,1,7,9,12,5
"US-Bar","DBF",44.0646,-71.2881,272,5.61,1245.77,"Dfb",-5,14,"CO2","FC+SC",0.248195313518446,1,0.455424651284057,1,0.55753405683744,1,0.822240418459132,1,0.98642615043671,1,0.975589883978621,1,0.983937068178855,1,0.948047027766914,1,0.973756681006388,1,"New England-Acadian forests","NA",4,10,"5.3.1","Northern Appalachian and Atlantic Maritime Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS",6,3,4,2,3,4,4,1
"US-Bi1","CRO",38.0992,-121.4993,-2.7,16,338,"Csa",-8,5,"negligible","FC+SC",0.210501095290252,1,0.617127601314348,1,0.768893756845564,1,0.863693410003651,1,0.873642296458562,1,0.873836254107338,1,0.873676524278934,1,0.862986035049288,1,0.873562431544359,1,"California Central Valley grasslands","NA",8,1,"11.1.2","Central California Valley","11.1","MEDITERRANEAN CALIFORNIA","11","MEDITERRANEAN CALIFORNIA",9,6,9,1,4,6,8,4
"US-Bi2","CRO",38.1091,-121.5351,-5,16,338,"Csa",-8,4,"negligible","FC+SC",0.305755190508784,1,0.757243896874287,1,0.877253023043577,1,0.894450148300251,1,0.920573807894136,1,0.870836185261237,1,0.862394478667579,1,0.864647501711157,1,0.883427446954141,1,"California Central Valley grasslands","NA",8,1,"11.1.2","Central California Valley","11.1","MEDITERRANEAN CALIFORNIA","11","MEDITERRANEAN CALIFORNIA",10,4,10,1,4,6,8,12
"US-Bkg","GRA",44.3453,-96.8362,510,6.03,585.76,"Dfa",-6,7,"SC","FC+SC",0.548869117455351,1,0.693129970016947,1,0.738031221483509,1,0.660930778255769,1,0.846190196845261,1,0.846393886064398,1,0.826603441533047,1,0.845668752444271,1,0.846206491982792,1,"Central tall grasslands","NA",8,5,"9.2.1","Aspen Parkland/Northern Glaciated Plains","9.2","TEMPERATE PRAIRIES","9","GREAT PLAINS",4,4,2,1,3,5,4,1
