Site_ID,Variable,Start_Date,Height,Instrument_Model,Instrument_Model2,Comment,BASE_Version
US-ARM,T_SONIC_1_1_1,,60,SA-Gill Windmaster Pro,,,9-5
US-ARM,USTAR_1_4_1,,4.28,SA-Gill Windmaster Pro,,,9-5
US-ARM,USTAR_1_2_1,,25,SA-Gill Windmaster Pro,,,9-5
US-ARM,USTAR_1_3_1,,4.65,SA-Gill Windmaster Pro,,,9-5
US-ARM,USTAR_1_1_1,,60,SA-Gill Windmaster Pro,,,9-5
US-ARM,VPD_PI,,3.94,RH-Capac,,,9-5
US-ARM,WD_1_4_1,,4.28,SA-Gill Windmaster Pro,,,9-5
US-ARM,WD_1_2_1,,25,SA-Gill Windmaster Pro,,,9-5
US-ARM,WD_1_3_1,,4.65,SA-Gill Windmaster Pro,,,9-5
US-ARM,WD_1_1_1,,60,SA-Gill Windmaster Pro,,,9-5
US-ARM,WS_1_4_1,,4.28,SA-Gill Windmaster Pro,,,9-5
US-ARM,WS_1_2_1,,25,SA-Gill Windmaster Pro,,,9-5
US-ARM,WS_1_3_1,,4.65,SA-Gill Windmaster Pro,,,9-5
US-ARM,WS_1_1_1,,60,SA-Gill Windmaster Pro,,,9-5
US-Atq,G,,-0.065,,,5-8 cm deep,1-1
US-Aud,FC,,4,,,,4-1
US-Aud,H,,4,,,,4-1
US-Aud,LE,,4,,,,4-1
US-Aud,SWC_1,,-0.1,,,,4-1
US-Aud,SWC_2,,-0.2,,,,4-1
US-Aud,TS_1,,-0.02,,,,4-1
US-Aud,TS_2,,-0.04,,,,4-1
US-Aud,USTAR,,4,,,,4-1
US-Bar,CO2_1_1_1,,24.5,GA_CP-LI-COR LI-6262,,,5-5
US-Bar,RH_PI_F_1_1_1,,22.3,RH-Capac,,PI-Filled RH,5-5
US-Bar,FC_1_1_1,,24.5,,,,5-5
US-Bar,H,,24.5,SA-ATI SATI K Style,,,5-5
US-Bar,LE,,24.5,,,,5-5
US-Bar,PPFD_IN_1_1_2,,25,RAD-PAR Quantum,,Li-190 quantum sensor; top of canopy; backup,5-5
US-Bar,PPFD_IN_1_1_1,,25.0,,,Sum of PPFD_DIR_1_1_1 + PPFD_DIF_1_1_1; Delta T Sunshine Sensor BF3,5-5
US-Bar,PPFD_IN_PI_F_1_1_1,,25.0,,,PI Filled ,5-5
US-Bar,PPFD_DIF_1_1_1,,25.0,,,Delta T Sunshine Sensor BF3,5-5
US-Bar,PPFD_DIR_1_1_1,,25.0,,,DeltaT Sunshine Sensor BF3,5-5
US-Bar,PPFD_OUT_1_1_1,,23.8,RAD-PAR Quantum,,LiCor quantum sensor; top of t,5-5
US-Bar,P_1_1_1,,26.5,PREC-TipBucGauge,,Texas Tech tipping bucket rain gauge,5-5
US-Bar,SW_IN_1_1_1,,25,RAD-SW Pyran Class2,,Kipp1 Incident shortwave radiation; Kipp & Zonen CM 3; top of tower,5-5
US-Bar,NETRAD_LW_1_1_1,20080709,25.0,RAD-Net radiometer,,Kipp & Zonen CNR-2,5-5
US-Bar,NETRAD_SW_1_1_1,20080709,25.0,RAD-Net radiometer,,Kipp & Zonen CNR-2,5-5
US-Bar,SW_OUT_1_1_1,,23.8,RAD-SW Pyran Class2,,Kipp2 Canopy-reflected shortwave radiation; Kipp & Zonen CM3; top of tower,5-5
US-Bar,RH_1_1_1,,22.3,RH-Capac,,HMP35C with calibration adjusted to match HMP45C installed summer 2017,5-5
US-Bar,NETRAD_1_1_1,,25,RAD-Net radiometer,,,5-5
US-Bar,TA_1_1_1,,23.8,TEMP-ElectResis,,,5-5
US-Bar,TA_1_2_1,,22.3,TEMP-Thermis,,Vaisala HMP35C,5-5
US-Bar,TA_PI_F_1_1_1,,23.8,,,,5-5
US-Bar,TS_1_1_1,,-0.05,TEMP-TCouple,,Thermocouple,5-5
US-Bar,TS_1_2_1,,-0.1,TEMP-TCouple,,Thermocouple,5-5
US-Bar,TS_PI_F_1_2_1,,-0.1,TEMP-TCouple,,,5-5
US-Bar,USTAR_1_1_1,,24.5,SA-ATI SATI K Style,,,5-5
US-Bar,VPD_PI_1_1_1,,22.3,,,,5-5
US-Bar,WD_1_1_1,,24.5,SA-ATI SATI K Style,,,5-5
US-Bar,WS_1_1_1,,24.5,SA-ATI SATI K Style,,,5-5
US-Bkg,FC,,4,,,,4-1
US-Bkg,H,,4,,,,4-1
US-Bkg,LE,,4,,,,4-1
US-Bkg,RH,,4,,,,4-1
US-Bkg,SWC_1,,-0.1,,,,4-1
US-Bkg,SWC_2,,-0.2,,,,4-1
US-Bkg,TA,,4,,,,4-1
US-Bkg,TS_1,,-0.02,,,,4-1
US-Bkg,TS_2,,-0.04,,,,4-1
US-Bkg,WD,,4,,,,4-1
US-Bkg,WS,,4,,,,4-1
US-Blk,FC,,24,,,,2-1
US-Blk,H,,24,,,,2-1
US-Blk,LE,,24,,,,2-1
US-Blk,SWC_1,,-0.1,,,,2-1
US-Blk,SWC_2,,-0.3,,,,2-1
US-Blk,TS_1,,-0.02,,,,2-1
US-Blk,TS_2,,-0.04,,,,2-1
US-Blk,WD,,24,,,,2-1
US-Blk,WS,,24,,,,2-1
US-Bn1,CO2_1,,9.5,,,,1-1
US-Bn1,FC,,9.5,,,,1-1
US-Bn1,G,,-0.1,,,,1-1
US-Bn1,H,,9.5,,,,1-1
US-Bn1,H2O,,9.5,,,,1-1
US-Bn1,LE,,9.5,,,,1-1
US-Bn1,PPFD_IN,,11.4,,,,1-1
US-Bn1,PA,,1.7,,,,1-1
US-Bn1,SW_IN,,11.4,RAD-Other,,LI200X,1-1
US-Bn1,SW_OUT,,10.7,RAD-Other,,Eppley,1-1
US-Bn1,RH,,7.4,,,,1-1
US-Bn1,NETRAD,,11.0,,,,1-1
US-Bn1,SWC_1,,-0.02,,,,1-1
US-Bn1,SWC_2,,-0.04,,,,1-1
US-Bn1,TA,,7.4,,,,1-1
US-Bn1,TS_1,,-0,,,,1-1
US-Bn1,TS_2,,-0.025,,,,1-1
US-Bn1,USTAR,,9.5,,,,1-1
US-Bn1,VPD_PI,,7.4,,,,1-1
US-Bn1,WD,,11.8,,,,1-1
US-Bn1,WS,,11.8,,,,1-1
US-Bn2,CO2_1,,10.0,,,,1-1
US-Bn2,FC,,10.0,,,,1-1
US-Bn2,G,,-0.1,,,,1-1
US-Bn2,H,,10.0,,,,1-1
US-Bn2,H2O,,10.0,,,,1-1
US-Bn2,LE,,10.0,,,,1-1
US-Bn2,PPFD_IN,,11.4,,,,1-1
US-Bn2,P,,1.0,,,,1-1
US-Bn2,PA,,2.0,,,,1-1
US-Bn2,SW_IN,,11.4,RAD-Other,,LI200X,1-1
US-Bn2,RH,,6.3,,,,1-1
US-Bn2,NETRAD,,10.3,,,,1-1
US-Bn2,SWC_1,,-0.02,,,,1-1
US-Bn2,SWC_2,,-0.11,,,,1-1
US-Bn2,TA,,6.3,,,,1-1
US-Bn2,TS_1,,-0,,,,1-1
US-Bn2,TS_2,,-0.025,,,,1-1
US-Bn2,USTAR,,10.0,,,,1-1
US-Bn2,VPD_PI,,6.3,,,,1-1
US-Bn2,WD,,12,,,,1-1
US-Bn2,WS,,12,,,,1-1
US-Bn3,CO2_1,,7.8,,,,1-1
US-Bn3,FC,,7.8,,,,1-1
US-Bn3,G,,-0.1,,,,1-1
US-Bn3,H,,7.8,,,,1-1
US-Bn3,H2O,,7.8,,,,1-1
US-Bn3,LE,,7.8,,,,1-1
US-Bn3,PPFD_IN,,9.0,,,,1-1
US-Bn3,P,,1,,,,1-1
US-Bn3,PA,,1.0,,,,1-1
US-Bn3,SW_IN,,9.0,RAD-Other,,LI200X,1-1
US-Bn3,SW_OUT,,7.0,RAD-Other,,Eppley,1-1
US-Bn3,RH,,5,,,,1-1
US-Bn3,NETRAD,,7.0,,,,1-1
US-Bn3,SWC_1,,-0.02,,,,1-1
US-Bn3,SWC_2,,-0.04,,,,1-1
US-Bn3,TA,,5,,,,1-1
US-Bn3,TS_1,,-0,,,,1-1
US-Bn3,TS_2,,-0.025,,,,1-1
US-Bn3,USTAR,,7.8,,,,1-1
US-Bn3,VPD_PI,,5.0,,,,1-1
US-Bn3,WD,,9.0,,,,1-1
US-Bn3,WS,,9.0,,,,1-1
US-Bo1,RH,,3,,,,2-1
US-Bo1,SWC_1,,-0.1,,,,2-1
US-Bo1,SWC_2,,-0.2,,,,2-1
US-Bo1,TA,,3,,,,2-1
US-Bo1,TS_1,,-0.02,,,,2-1
US-Bo1,TS_2,,-0.04,,,,2-1
US-Bo1,WD,,10,,,,2-1
US-Bo1,WS,,10,,,,2-1
US-Bo2,WD,,10,,,,2-1
US-Bo2,WS,,10,,,,2-1
US-Br1,G,,,SOIL_H-Other,,REBS Gplate+storage; W m-2,1-1
US-Br1,SWC_1,,-0.05,,,,1-1
US-Br1,TS_1,,-0.02,,,,1-1
US-Br1,USTAR,,,WIND-Other,,CSAT u_star; m s-1,1-1
US-Br1,WD,,,WIND-Other,,CSAT wnd_dir_compass; degrees,1-1
US-Br1,WS,,,WIND-Other,,CSAT wnd_spd; m s-1,1-1
US-Br3,G,,,SOIL_H-Other,,REBS Gplate+storage; W m-2,1-1
US-Br3,SWC_1,,-0.05,,,,1-1
US-Br3,TS_1,,-0.02,,,,1-1
US-Br3,USTAR,,,WIND-Other,,CSAT u_star; m s-1,1-1
US-Br3,WD,,,WIND-Other,,CSAT wnd_dir_compass; degrees,1-1
US-Br3,WS,,,WIND-Other,,CSAT wnd_spd; m s-1,1-1
US-Brw,FC,,4.18,,,,2-1
US-Brw,G,,,SOIL_H-Other,,REBS) W m-2,2-1
US-Brw,H,,4.18,SA-Other,,Gill Inc.) W m-2 (at 4.18m),2-1
US-Brw,LE,,4.18,,,,2-1
US-Brw,NETRAD,,,RAD-Other,,REBS) W m-2,2-1
US-Brw,PPFD_IN,,1.2,RAD-Other,,LI-COR) uE m-2 s-1 (at 1.2m),2-1
US-Brw,PPFD_OUT,,1.2,RAD-Other,,LI-COR) uE m-2 s-1 (at 1.2m),2-1
US-Brw,RH,,2.5,RH-Other,,Vaisala) % (at 2.5m),2-1
US-Brw,TA,,2.5,TEMP-Other,,Vaisala) oC (at 2.5m),2-1
US-Brw,TS_1,,-0,TEMP-Other,,Thermocouple,2-1
US-Brw,TS_2,,-0.05,,,,2-1
US-Brw,USTAR,,4.18,WIND-Other,,Gill Inc.) m s-1,2-1
US-Brw,VPD_PI,,2.5,,,,2-1
US-Brw,WD,,2.5,WIND-Other,,Gill Inc.) Degree (at 2.5m),2-1
US-Brw,WS,,2.5,WIND-Other,,Gill Inc.) m s-1 (at 2.5m),2-1
US-CaV,FC,,4,,,,2-1
US-CaV,H,,4,,,,2-1
US-CaV,LE,,4,,,,2-1
US-CaV,SWC_1,,-0.05,,,,2-1
US-CaV,SWC_2,,-0.1,,,,2-1
US-CaV,TS_1,,-0.02,,,,2-1
US-CaV,TS_2,,-0.04,,,,2-1
US-CaV,WD,,4,,,,2-1
US-CaV,WS,,4,,,,2-1
US-Ced,CO2_1,,17,,,,7-1
US-Ced,FC,,17,,,,7-1
US-Ced,G,,-0.1,,,,7-1
US-Ced,H,,17,,,,7-1
US-Ced,LE,,17,,,,7-1
US-Ced,PPFD_IN,,15,,,,7-1
US-Ced,SW_IN,,15,,,,7-1
US-Ced,RH,,15,,,,7-1
US-Ced,NETRAD,,15,,,,7-1
US-Ced,TA,,15,,,,7-1
US-Ced,TS_1,,-0.05,,,,7-1
US-Ced,USTAR,,17,,,,7-1
US-Ced,VPD_PI,,15,,,,7-1
US-Ced,WD,,15,,,,7-1
US-Ced,WS,,15,,,,7-1
US-ChR,SWC_1,,-0.05,,,,2-1
US-ChR,SWC_2,,-0.1,,,,2-1
US-ChR,TS_1,,-0.02,,,,2-1
US-ChR,TS_2,,-0.04,,,,2-1
US-ChR,WS,,43,,,,2-1
US-Cop,CO2,,1.85,,,,2-5
US-Cop,FC,,1.85,,,,2-5
US-Cop,G,,-0.1,,,,2-5
US-Cop,H,,1.85,,,,2-5
US-Cop,LE,,1.85,,,,2-5
US-Cop,P,,1,,,,2-5
US-Cop,SW_IN,,3.00,,,,2-5
US-Cop,SW_OUT,,3.00,,,,2-5
US-Cop,RH_1_1_1,,3.00,,,,2-5
US-Cop,NETRAD,,3.00,,,,2-5
US-Cop,SWC_1_1_1,,-0.05,,,,2-5
US-Cop,SWC_2_2_1,,-0.1,,,,2-5
US-Cop,TA_1_1_1,,3.00,,,,2-5
US-Cop,TS_1_1_1,,-0.05,,,,2-5
US-Cop,TS_2_2_1,,-0.1,,,,2-5
US-Cop,USTAR,,1.85,,,,2-5
US-Cop,VPD_PI_1_1_1,,3.00,,,,2-5
US-Cop,WD_1_1_1,,3.00,,,,2-5
US-Cop,WS_1_1_1,,3.00,,,,2-5
US-Cop,ZL,,1.85,,,,2-5
US-CPk,CO2_1,,17.7,,,,2-1
US-CPk,FC,,17.7,SA-Other,,CSAT/LI7500,2-1
US-CPk,G,,-0.05,,,,2-1
US-CPk,H,,17.7,SA-Other,,CSAT/LI7500,2-1
US-CPk,H2O,,17.7,,,,2-1
US-CPk,LE,,17.7,SA-Other,,CSAT/LI7500,2-1
US-CPk,PPFD_IN,,18,,,,2-1
US-CPk,SW_IN,,17.1,RAD-Other,,CNR1,2-1
US-CPk,LW_IN,,17.1,RAD-Other,,CNR1,2-1
US-CPk,LW_OUT,,17.1,RAD-Other,,CNR1,2-1
US-CPk,SW_OUT,,17.1,RAD-Other,,CNR1,2-1
US-CPk,RH,,17.7,,,,2-1
US-CPk,NETRAD,,17.1,RAD-Other,,CNR1,2-1
US-CPk,SWC_2,,-0.45,,,,2-1
US-CPk,TA,,17.7,,,,2-1
US-CPk,TS_2,,-0.3,,,,2-1
US-CPk,USTAR,,17.7,WIND-Other,,CSAT,2-1
US-CPk,TS_1,,-0.1,TEMP-Other,,Thermocouple,2-1
US-CPk,VPD_PI,,17.7,,,,2-1
US-CPk,WD,,17.7,WIND-Other,,CSAT,2-1
US-CPk,WS,,17.7,,,,2-1
US-CRT,CH4,,2,GA_OP-LI-COR LI-7700,,,4-5
US-CRT,CO2,,2,GA_OP-LI-COR LI-7500,,,4-5
US-CRT,FC,,2,GA_OP-LI-COR LI-7500,SA-Campbell CSAT-3,,4-5
US-CRT,FCH4,,2,GA_OP-LI-COR LI-7700,SA-Campbell CSAT-3,,4-5
US-CRT,G_1_1_1,,-0.1,SOIL_H-Plate,,,4-5
US-CRT,H,,2,SA-Campbell CSAT-3,,,4-5
US-CRT,H2O,,2,GA_OP-LI-COR LI-7500,,,4-5
US-CRT,MO_LENGTH,,2,,,,4-5
US-CRT,LE,,2,GA_OP-LI-COR LI-7500,SA-Campbell CSAT-3,,4-5
US-CRT,NEE_PI,,,GA_OP-LI-COR LI-7500,SA-Campbell CSAT-3,,4-5
US-CRT,PPFD_IN,,2.5,RAD-PAR Quantum,,,4-5
US-CRT,P,,2.5,RAIN-TipBucGauge,,,4-5
US-CRT,PA,,0.5,PRES-ElectBar,,,4-5
US-CRT,SW_IN,,2,RAD-Pyrrad-SW+LW,,,4-5
US-CRT,LW_IN,,2,RAD-Pyrrad-SW+LW,,,4-5
US-CRT,LW_OUT,,2,RAD-Pyrrad-SW+LW,,,4-5
US-CRT,SW_OUT,,2,RAD-Pyrrad-SW+LW,,,4-5
US-CRT,RH,,2,RH-Capac,,,4-5
US-CRT,NETRAD,,2,RAD-Pyrrad-SW+LW,,,4-5
US-CRT,SWC,,-0.15,SWC-TDR,,,4-5
US-CRT,TA,,2,TEMP-ElectResis,,,4-5
US-CRT,TS_1_1_1,,-0.1,TEMP-Thermis,,,4-5
US-CRT,TS_2_1_1,,-0.1,TEMP-Thermis,,,4-5
US-CRT,USTAR,,2,SA-Campbell CSAT-3,,,4-5
US-CRT,V_SIGMA,,2,SA-Campbell CSAT-3,,,4-5
US-CRT,WTD,,-3,WTD-Press,,,4-5
US-CRT,WD,,2,SA-Campbell CSAT-3,,,4-5
US-CRT,WS,,2,SA-Campbell CSAT-3,,,4-5
US-CRT,W_SIGMA,,2,SA-Campbell CSAT-3,,,4-5
US-CRT,ZL,,2,,,,4-5
US-Ctn,FC,,5,,,,2-1
US-Ctn,H,,5,,,,2-1
US-Ctn,LE,,5,,,,2-1
US-Dia,CO2_1,,2.1,GA_OP-Campbell EC150,,,1-1
US-Dia,FC,,2.1,GA_OP-Campbell EC150,SA-Campbell CSAT-3,,1-1
US-Dia,G,,-0,,,,1-1
US-Dia,H,,2.1,SA-Campbell CSAT-3,,,1-1
US-Dia,H2O,,2.1,GA_OP-Campbell EC150,,,1-1
US-Dia,LE,,2.1,GA_OP-Campbell EC150,SA-Campbell CSAT-3,,1-1
US-Dia,NEE_PI,,2.1,,,,1-1
US-Dia,P,,0,,,,1-1
US-Dia,PA,,2.2,,,,1-1
US-Dia,SW_IN,,2.2,,,,1-1
US-Dia,SW_DIF,,2.2,,,,1-1
US-Dia,LW_IN,,2.2,,,,1-1
US-Dia,LW_OUT,,2.2,,,,1-1
US-Dia,SW_OUT,,2.2,,,,1-1
US-Dia,RH,,2.2,,,,1-1
US-Dia,NETRAD,,2.2,,,,1-1
US-Dia,TA,,2.2,,,,1-1
US-Dia,TS_1,,-0,,,,1-1
US-Dia,TS_2,,-0.05,,,,1-1
US-Dia,USTAR,,2.1,,,,1-1
US-Dia,VPD_PI,,2.2,,,,1-1
US-Dix,CO2_1,,17,,,,2-1
US-Dix,FC,,17,,,,2-1
US-Dix,G,,-0.1,,,,2-1
US-Dix,H,,17,,,,2-1
US-Dix,LE,,17,,,,2-1
US-Dix,PPFD_IN,,15,,,,2-1
US-Dix,SW_IN,,15,,,,2-1
US-Dix,RH,,15,,,,2-1
US-Dix,NETRAD,,15,,,,2-1
US-Dix,TA,,15,,,,2-1
US-Dix,TS_1,,-0.05,,,,2-1
US-Dix,VPD_PI,,15,,,,2-1
US-Dix,WD,,15,,,,2-1
US-Dix,WS,,15,,,,2-1
US-Dk1,CO2_1_1_1,,2.8,,,,4-5
US-Dk1,CO2_2_1_1,,2.8,,,,4-5
US-Dk1,FC,,2.8,,,,4-5
US-Dk1,FC_PI_F,,2.8,,,,4-5
US-Dk1,G,,-0.05,,,,4-5
US-Dk1,FH2O,,2.8,,,,4-5
US-Dk1,FH2O_PI_F,,2.8,,,,4-5
US-Dk1,H,,2.8,,,,4-5
US-Dk1,H_PI_F,,2.8,,,,4-5
US-Dk1,LE,,2.8,,,,4-5
US-Dk1,TA,,2.8,,,,4-5
US-Dk1,LE_PI_F,,2.8,,,,4-5
US-Dk1,PPFD_IN,,1.9,,,,4-5
US-Dk1,PPFD_IN_PI_F,,1.9,,,,4-5
US-Dk1,P,,1.9,,,,4-5
US-Dk1,RH,,2.8,,,,4-5
US-Dk1,RH_PI_F,,2.8,,,,4-5
US-Dk1,NETRAD,,1.9,,,,4-5
US-Dk1,SWC_1_1_1,,-0.1,,,,4-5
US-Dk1,SWC_1_2_1,,-0.25,,,,4-5
US-Dk1,TA_PI_F,,2.8,,,,4-5
US-Dk1,TS_1_1_1,,-0.1,,,,4-5
US-Dk1,TS_1_2_1,,-0.25,,,,4-5
US-Dk1,WS,,2.8,,,,4-5
US-Dk1,WS_PI_F,,2.8,,,,4-5
US-Dk2,CO2_1_1_1,,39.8,,,,4-5
US-Dk2,CO2_2_1_1,,39.8,GA-Other,,ling point is reported CO2 in,4-5
US-Dk2,FC,,39.8,,,,4-5
US-Dk2,G,,-0.05,,,,4-5
US-Dk2,FC_PI_F,,39.8,,,,4-5
US-Dk2,FH2O,,39.8,,,,4-5
US-Dk2,FH2O_PI_F,,39.8,,,,4-5
US-Dk2,H,,39.8,,,,4-5
US-Dk2,H_PI_F,,39.8,,,,4-5
US-Dk2,LE,,39.8,,,,4-5
US-Dk2,LE_PI_F,,39.8,,,,4-5
US-Dk2,SWC_1_1_1,,-0.1,,,,4-5
US-Dk2,SWC_1_2_1,,-0.25,,,,4-5
US-Dk2,TS_1_1_1,,-0.1,,,,4-5
US-Dk2,TS_1_2_1,,-0.25,,,,4-5
US-Dk3,CO2_1_1_1,,20.2,,,,4-5
US-Dk3,CO2_2_1_1,,20.2,,,,4-5
US-Dk3,FC,,20.2,,,,4-5
US-Dk3,FC_PI_F,,20.2,,,,4-5
US-Dk3,G,,-0.05,,,,4-5
US-Dk3,FH2O,,20.2,,,,4-5
US-Dk3,FH2O_PI_F,,20.2,,,,4-5
US-Dk3,H,,20.2,,,,4-5
US-Dk3,LW_OUT_PI_F,,20.2,,,,4-5
US-Dk3,SW_OUT,,20.2,,,,4-5
US-Dk3,SW_OUT_PI_F,,20.2,,,,4-5
US-Dk3,H_PI_F,,20.2,,,,4-5
US-Dk3,H2O,,20.2,,,,4-5
US-Dk3,LE,,20.2,,,,4-5
US-Dk3,LE_PI_F,,20.2,,,,4-5
US-Dk3,PPFD_IN,,20.2,,,,4-5
US-Dk3,PPFD_IN_PI_F,,20.2,,,,4-5
US-Dk3,P,,20.2,,,,4-5
US-Dk3,SW_IN,,20.2,,,,4-5
US-Dk3,SW_IN_PI_F,,20.2,,,,4-5
US-Dk3,LW_IN_PI_F,,20.2,,,,4-5
US-Dk3,LW_IN,,20.2,,,,4-5
US-Dk3,LW_OUT,,20.2,,,,4-5
US-Dk3,RH,,20.2,,,,4-5
US-Dk3,RH_PI_F,,20.2,,,,4-5
US-Dk3,NETRAD,,20.2,,,,4-5
US-Dk3,WS_PI_F,,20.2,,,,4-5
US-Dk3,TA,,20.2,,,,4-5
US-Dk3,TA_PI_F,,20.2,,,,4-5
US-Dk3,TS_1_2_1,,-0.1,,,,4-5
US-Dk3,TS_1_3_1,,-0.3,,,,4-5
US-Dk3,WS,,20.2,,,,4-5
US-Elm,CO2_1,,3.3,,,,4-1
US-Elm,FC,,3.3,,,,4-1
US-Elm,G,,-0.1,,,,4-1
US-Elm,H,,3.3,,,,4-1
US-Elm,H2O,,3.3,,,,4-1
US-Elm,LE,,3.3,,,,4-1
US-Elm,PPFD_IN,,3.3,,,,4-1
US-Elm,SW_IN,,3.3,,,,4-1
US-Elm,SW_OUT,,3.3,,,,4-1
US-Elm,RH,,3.3,,,,4-1
US-Elm,NETRAD,,3.3,,,,4-1
US-Elm,TA,,3.3,,,,4-1
US-Elm,USTAR,,3.3,,,,4-1
US-Elm,TS_2,,-0.1,,,,4-1
US-Elm,TS_1,,-0.05,,,,4-1
US-Elm,VPD_PI,,3.3,,,,4-1
US-Elm,WD,,3.3,,,,4-1
US-Elm,WS,,3.3,,,,4-1
US-EML,CO2,,3.64,GA_OP-LI-COR LI-7500A,,,3-5
US-EML,FC,,,GA_OP-LI-COR LI-7500A,,,3-5
US-Esm,CO2_1,,3.3,,,,5-1
US-Esm,FC,,3.3,,,,5-1
US-Esm,G,,-0.1,,,,5-1
US-Esm,H,,3.3,,,,5-1
US-Esm,H2O,,3.3,,,,5-1
US-Esm,LE,,3.3,,,,5-1
US-Esm,PPFD_IN,,3.3,,,,5-1
US-Esm,SW_IN,,3.3,,,,5-1
US-Esm,SW_OUT,,3.3,,,,5-1
US-Esm,RH,,3.3,,,,5-1
US-Esm,NETRAD,,3.3,,,,5-1
US-Esm,TA,,3.3,,,,5-1
US-Esm,TS_2,,-0.1,,,,5-1
US-Esm,USTAR,,3.3,,,,5-1
US-Esm,TS_1,,-0.05,,,,5-1
US-Esm,VPD_PI,,3.3,,,,5-1
US-Esm,WD,,3.3,,,,5-1
US-Esm,WS,,3.3,,,,5-1
US-Fmf,CO2,,23,,,,6-5
US-Fmf,FC,,23,,,,6-5
US-Fmf,H,,23,,,,6-5
US-Fmf,LE,,23,,,,6-5
US-Fmf,SWC_1_1_1,,-0.02,,,,6-5
US-Fmf,SWC_1_2_1,,-0.1,,,,6-5
US-Fmf,TS_1_1_1,,-0.02,,,,6-5
US-Fmf,TS_1_2_1,,-0.1,,,,6-5
US-Fmf,WS,,23,,,,6-5
US-FPe,FC,,3.5,,,,2-1
US-FPe,H,,3.5,,,,2-1
US-FPe,LE,,3.5,,,,2-1
US-FPe,TA,,2,,,,2-1
US-FPe,WD,,3.5,,,,2-1
US-FPe,WS,,3.5,,,,2-1
US-FR2,CO2_1,,7.97,,,,2-1
US-FR2,FC,,7.97,,,,2-1
US-FR2,H,,7.97,,,,2-1
US-FR2,LE,,7.97,,,,2-1
US-FR2,SWC_1,,-0.02,,,,2-1
US-FR2,TS_1,,-0.02,,,,2-1
US-FR3,CO2_1,,14,,,,1-1
US-FR3,FC,,14,,,,1-1
US-FR3,G,,-0.05,,,,1-1
US-FR3,H,,14,,,,1-1
US-FR3,H2O,,14,,,,1-1
US-FR3,LE,,14,,,,1-1
US-FR3,PPFD_IN,,14,,,,1-1
US-FR3,PA,,14,,,,1-1
US-FR3,SW_IN,,14,,,,1-1
US-FR3,LW_IN,,14,,,,1-1
US-FR3,LW_OUT,,14,,,,1-1
US-FR3,SW_OUT,,14,,,,1-1
US-FR3,RH,,14,,,,1-1
US-FR3,NETRAD,,14,,,,1-1
US-FR3,SWC_1,,-0.1,,,,1-1
US-FR3,SWC_2,,-0.2,,,,1-1
US-FR3,TA,,14,,,,1-1
US-FR3,TS_1,,-0.02,,,,1-1
US-FR3,TS_2,,-0.1,,,,1-1
US-FR3,USTAR,,14,,,,1-1
US-FR3,VPD_PI,,14,,,,1-1
US-FR3,WD,,14,,,,1-1
US-FR3,WS,,14,,,,1-1
US-Fuf,CO2,,23,,,,6-5
US-Fuf,FC,,23,,,,6-5
US-Fuf,H,,23,,,,6-5
US-Fuf,LE,,23,,,,6-5
US-Fuf,SWC_1_1_1,,-0.02,,,,6-5
US-Fuf,SWC_1_2_1,,-0.1,,,,6-5
US-Fuf,TS_1_1_1,,-0.02,,,,6-5
US-Fuf,TS_1_2_1,,-0.1,,,,6-5
US-Fuf,WS,,23,,,,6-5
US-Fwf,G,,-0.08,,,,8-5
US-Fwf,PPFD_IN,,2,,,,8-5
US-Fwf,PPFD_DIF,,2,,,,8-5
US-Fwf,PPFD_OUT,,2,,,,8-5
US-Fwf,SW_IN,,2,,,,8-5
US-Fwf,LW_IN,,2,,,,8-5
US-Fwf,LW_OUT,,2,,,,8-5
US-Fwf,SW_OUT,,2,,,,8-5
US-Fwf,RH,,2,,,,8-5
US-Fwf,NETRAD,,2,,,,8-5
US-Fwf,SWC_1_1_1,,-0.02,,,,8-5
US-Fwf,SWC_1_2_1,,-0.1,,,,8-5
US-Fwf,TA,,2,,,,8-5
US-Fwf,TS_1_1_1,,-0.02,,,,8-5
US-Fwf,TS_1_2_1,,-0.1,,,,8-5
US-Fwf,VPD_PI,,2,,,,8-5
US-Fwf,WD,,2,,,,8-5
US-Fwf,WS,,2,,,,8-5
US-GBT,CO2_1,,27.12,,,,1-1
US-GBT,FC,,27.12,,,,1-1
US-GBT,G,,-0,,,,1-1
US-GBT,H,,27.12,,,,1-1
US-GBT,H2O,,27.12,,,,1-1
US-GBT,LE,,27.12,,,,1-1
US-GBT,PPFD_IN,,27.9,,,,1-1
US-GBT,PPFD_OUT,,27.5,,,,1-1
US-GBT,PA,,27.4,,,,1-1
US-GBT,SW_IN,,28.7,,,,1-1
US-GBT,LW_IN,,28.7,,,,1-1
US-GBT,LW_OUT,,28.7,,,,1-1
US-GBT,SW_OUT,,28.7,,,,1-1
US-GBT,RH,,27.8,,,,1-1
US-GBT,NETRAD,,28.7,,,,1-1
US-GBT,SWC_2,,-0.1,,,,1-1
US-GBT,SWC_1,,-0.05,,,,1-1
US-GBT,TA,,27.8,,,,1-1
US-GBT,VPD_PI,,27.8,,,,1-1
US-GBT,TS_2,,-0.1,,,,1-1
US-GBT,TS_1,,-0.05,,,,1-1
US-GBT,USTAR,,27.12,,,,1-1
US-GBT,WD,,30.2,,,,1-1
US-GBT,WS,,30.2,,,,1-1
